,0
Gait speed,0.514213358657803
Dom grip str,0.75445213222991
Ndom grip str,0.7549133993578439
ADL score,0.28284719395830504
IADL score,0.28281101614434945
5 Chair rises,0.8175824175824176
Leg raise,0.9528331750553973
Full tandem,0.9689323022656356
Self-rated health,0.09710125265680825
Eyesight,0.18854067742956637
Hearing,0.18841405508072173
Walking ability,0.19009632342965677
Dias BP,0.6278116944783612
Sys BP,0.6278116944783612
Pulse,0.6278659611992945
Trig,0.8057884502328947
C-RP,0.7528241306019083
HDL,0.7546420657531768
LDL,0.8097951431284764
Gluc,0.8870438203771537
IGF-1,0.8626690182245738
Hgb,0.7556640889974223
Fibr,0.7662551440329218
Ferr,0.7541265319043097
Total chol,0.8051643829421608
WBC,0.8637543526432415
MCH,0.8637633970967304
HgbA1c,0.8076606521050965
Vit-D,0.9203907203907205
